rank,numero_cnj,pid,score,ano_cnj,classe_nome,composite,link
349,1004495-76.2026.4.01.3304,2415688,0.8406,2026,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9606,https://voyager.was.dev.br/dashboard/processos/2415688/
350,1005610-35.2026.4.01.3304,2415690,0.8406,2026,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9606,https://voyager.was.dev.br/dashboard/processos/2415690/
351,1002596-43.2026.4.01.3304,2414941,0.8406,2026,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9606,https://voyager.was.dev.br/dashboard/processos/2414941/
352,1033662-75.2025.4.01.3304,2414655,0.8550,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9600,https://voyager.was.dev.br/dashboard/processos/2414655/
353,1038794-16.2025.4.01.3304,2414711,0.8550,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9600,https://voyager.was.dev.br/dashboard/processos/2414711/
354,1005557-88.2025.4.01.3304,2415967,0.8550,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9600,https://voyager.was.dev.br/dashboard/processos/2415967/
355,1035263-19.2025.4.01.3304,2414639,0.8550,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9600,https://voyager.was.dev.br/dashboard/processos/2414639/
356,1037742-82.2025.4.01.3304,2414938,0.8550,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9600,https://voyager.was.dev.br/dashboard/processos/2414938/
357,1037144-31.2025.4.01.3304,2414499,0.8550,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9600,https://voyager.was.dev.br/dashboard/processos/2414499/
358,1008938-50.2025.4.01.4001,1402557,0.8549,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9599,https://voyager.was.dev.br/dashboard/processos/1402557/
359,1002472-40.2025.4.01.3904,1411332,0.8549,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9599,https://voyager.was.dev.br/dashboard/processos/1411332/
360,1000569-14.2023.4.01.4300,409075,0.8849,2023,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9599,https://voyager.was.dev.br/dashboard/processos/409075/
361,1001748-74.2022.4.01.3602,1646495,0.8998,2022,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9598,https://voyager.was.dev.br/dashboard/processos/1646495/
362,1004391-57.2025.4.01.3001,1303405,0.8546,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9596,https://voyager.was.dev.br/dashboard/processos/1303405/
363,1030700-76.2021.4.01.3900,35034,0.9145,2021,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9595,https://voyager.was.dev.br/dashboard/processos/35034/
364,1044474-89.2024.4.01.3700,1517649,0.8694,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9594,https://voyager.was.dev.br/dashboard/processos/1517649/
365,1028122-80.2024.4.01.3304,2415577,0.8694,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9594,https://voyager.was.dev.br/dashboard/processos/2415577/
366,1091046-33.2024.4.01.3400,1260326,0.8689,2024,Cumprimento de Sentença de Ações Coletivas,0.9589,https://voyager.was.dev.br/dashboard/processos/1260326/
367,1002953-54.2020.4.01.3200,1510193,0.9289,2020,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9589,https://voyager.was.dev.br/dashboard/processos/1510193/
368,1041933-54.2022.4.01.3700,264667,0.8987,2022,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9587,https://voyager.was.dev.br/dashboard/processos/264667/
369,1021362-89.2023.4.01.4100,1676704,0.8836,2023,CUMPRIMENTO DE SENTENÇA,0.9586,https://voyager.was.dev.br/dashboard/processos/1676704/
370,1011745-83.2024.4.01.3902,1249835,0.8685,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9585,https://voyager.was.dev.br/dashboard/processos/1249835/
371,1013657-69.2025.4.01.4100,1388740,0.8534,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9584,https://voyager.was.dev.br/dashboard/processos/1388740/
372,1090201-08.2023.4.01.3700,1120658,0.8833,2023,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9583,https://voyager.was.dev.br/dashboard/processos/1120658/
373,1108128-14.2023.4.01.3400,380273,0.8833,2023,CUMPRIMENTO DE SENTENÇA DE AÇÕES COLETIVAS,0.9583,https://voyager.was.dev.br/dashboard/processos/380273/
374,1026903-35.2024.4.01.3400,1118299,0.8683,2024,Cumprimento de Sentença de Ações Coletivas,0.9583,https://voyager.was.dev.br/dashboard/processos/1118299/
375,1001572-96.2025.4.01.3503,1354681,0.8529,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9579,https://voyager.was.dev.br/dashboard/processos/1354681/
376,1004123-49.2025.4.01.3503,1317931,0.8529,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9579,https://voyager.was.dev.br/dashboard/processos/1317931/
377,1041515-38.2025.4.01.3304,2415988,0.8529,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9579,https://voyager.was.dev.br/dashboard/processos/2415988/
378,1026226-65.2025.4.01.3304,2417830,0.8529,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9579,https://voyager.was.dev.br/dashboard/processos/2417830/
379,1026343-56.2025.4.01.3304,2415683,0.8529,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9579,https://voyager.was.dev.br/dashboard/processos/2415683/
380,1029902-21.2025.4.01.3304,2414902,0.8529,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9579,https://voyager.was.dev.br/dashboard/processos/2414902/
381,1039428-12.2025.4.01.3304,2414865,0.8529,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9579,https://voyager.was.dev.br/dashboard/processos/2414865/
382,1039226-35.2025.4.01.3304,1373986,0.8529,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9579,https://voyager.was.dev.br/dashboard/processos/1373986/
383,1040450-08.2025.4.01.3304,2414904,0.8529,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9579,https://voyager.was.dev.br/dashboard/processos/2414904/
384,1005254-40.2026.4.01.3304,1373734,0.8378,2026,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9578,https://voyager.was.dev.br/dashboard/processos/1373734/
385,1004756-41.2026.4.01.3304,2414797,0.8378,2026,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9578,https://voyager.was.dev.br/dashboard/processos/2414797/
386,1051218-21.2024.4.01.3500,1496532,0.8677,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9577,https://voyager.was.dev.br/dashboard/processos/1496532/
